Rank,Title,Score,Picture
84,Death Note,8.62,https://cdn.myanimelist.net/r/50x70/images/anime/1079/138100.jpg?s=3e4bd9dab3fbb90bff74e3240e281d23
85,Jujutsu Kaisen,8.62,https://cdn.myanimelist.net/r/50x70/images/anime/1171/109222.jpg?s=f5508bab9e7d610a28f12d1828a6ee79
86,Cyberpunk: Edgerunners,8.60,https://cdn.myanimelist.net/r/50x70/images/anime/1818/126435.jpg?s=7b294f04000f9e4b59fdae558b4b4936
87,Hajime no Ippo: Rising,8.60,https://cdn.myanimelist.net/r/50x70/images/anime/6/56147.jpg?s=7e50339d044aed8909d36bb9afa331d3
88,Suzumiya Haruhi no Shoushitsu,8.60,https://cdn.myanimelist.net/r/50x70/images/anime/1248/112352.jpg?s=e62fda44bb62e1b938570096c39f9d05
89,Kimetsu no Yaiba Movie: Mugen Ressha-hen,8.59,https://cdn.myanimelist.net/r/50x70/images/anime/1704/106947.jpg?s=685b7fa652f5b3df29bd20fc2c8cb32e
90,Mushishi Zoku Shou: Suzu no Shizuku,8.59,https://cdn.myanimelist.net/r/50x70/images/anime/9/72689.jpg?s=58cb067cc48352b42e376589c0b4dfcc
91,Seishun Buta Yarou wa Yumemiru Shoujo no Yume wo Minai,8.59,https://cdn.myanimelist.net/r/50x70/images/anime/1613/102179.jpg?s=9b762a892eac987081bada93be8d3bdc
92,Shin Evangelion Movie: ||,8.59,https://cdn.myanimelist.net/r/50x70/images/anime/1422/113533.jpg?s=1e4f4aa0e597b1c1f082779ab9baa2fc
93,Kenpuu Denki Berserk,8.58,https://cdn.myanimelist.net/r/50x70/images/anime/1384/119988.jpg?s=9260c7baa7b55d81d9f6375b55a803e6
94,JoJo no Kimyou na Bouken Part 6: Stone Ocean Part 3,8.58,https://cdn.myanimelist.net/r/50x70/images/anime/1233/128920.jpg?s=1edd57926f956b98645fb547a428c5af
95,Tengen Toppa Gurren Lagann Movie 2: Lagann-hen,8.58,https://cdn.myanimelist.net/r/50x70/images/anime/12/19698.jpg?s=1be69978bb463a9b8284565cbf1bfb2f
96,Kizumonogatari II: Nekketsu-hen,8.57,https://cdn.myanimelist.net/r/50x70/images/anime/1981/112812.jpg?s=be1337b450cee892a1083242c5e526c2
97,Natsume Yuujinchou Go,8.57,https://cdn.myanimelist.net/r/50x70/images/anime/11/81755.jpg?s=54d7dafe4652b04b40d97d5d6d97d18d
98,Natsume Yuujinchou San,8.57,https://cdn.myanimelist.net/r/50x70/images/anime/8/82394.jpg?s=f3bc38aa1e6c10580687828856d8dc28
99,Ookami Kodomo no Ame to Yuki,8.57,https://cdn.myanimelist.net/r/50x70/images/anime/9/35721.jpg?s=3cb7f7062c2ef1c69ab18d7e3c04af2b
100,JoJo no Kimyou na Bouken Part 5: Ougon no Kaze,8.57,https://cdn.myanimelist.net/r/50x70/images/anime/1572/95010.jpg?s=88db8e76960fce4e7aaa69f71cfbb4cb
